"schoolid","schoolname","calendaryear","totaljd","hispanicjd","amindianjd","asianjd","blackjd","nathawjd","twoormorejd","minorityjd","whitejd","nonresalienjd","unknownjd","menjd","hispanicmenjd","amindianmenjd","asianmenjd","blackmenjd","nathawmenjd","twoormoremenjd","minoritymenjd","whitemenjd","nonresalienmenjd","unknownmenjd","womenjd","hispanicwomenjd","amindianwomenjd","asianwomenjd","blackwomenjd","nathawwomenjd","twoormorewomenjd","minoritywomenjd","whitewomenjd","nonresalienwomenjd","unknownwomenjd","otherjd","hispanicotherjd","amindianotherjd","asianotherjd","blackotherjd","nathawotherjd","twoormoreotherjd","minorityotherjd","whiteotherjd","nonresalienotherjd","unknownotherjd","totalftjd","fthispanicjd","ftamindjd","ftasianjd","ftblackjd","ftnathawjd","fttwoormorejd","ftminorityjd","ftwhitejd","ftnonresalienjd","ftunknownjd","totalptjd","pthispanicjd","ptamindjd","ptasianjd","ptblackjd","ptnathawjd","pttwoormorejd","ptminorityjd","ptwhitejd","ptnonresalienjd","ptunknownjd","totaljd1","hispanicjd1","amindianjd1","asianjd1","blackjd1","nathawjd1","twoormorejd1","minorityjd1","whitejd1","nonresalienjd1","unknownjd1","amindianmenjd1","amindianotherjd1","amindianwomenjd1","asianmenjd1","asianotherjd1","asianwomenjd1","blackmenjd1","blackotherjd1","blackwomenjd1","hispanicmenjd1","hispanicotherjd1","hispanicwomenjd1","minoritymenjd1","minorityotherjd1","minoritywomenjd1","nathawmenjd1","nathawotherjd1","nathawwomenjd1","nonresalienmenjd1","nonresalienotherjd1","nonresalienwomenjd1","twoormoremenjd1","twoormoreotherjd1","twoormorewomenjd1","unknownmenjd1","unknownotherjd1","unknownwomenjd1","whitemenjd1","whiteotherjd1","whitewomenjd1","menjd1","otherjd1","womenjd1","totaljd2","amindianjd2","amindianmenjd2","amindianotherjd2","amindianwomenjd2","asianjd2","asianmenjd2","asianotherjd2","asianwomenjd2","blackjd2","blackmenjd2","blackotherjd2","blackwomenjd2","hispanicjd2","hispanicmenjd2","hispanicotherjd2","hispanicwomenjd2","minorityjd2","minoritymenjd2","minorityotherjd2","minoritywomenjd2","nathawjd2","nathawmenjd2","nathawotherjd2","nathawwomenjd2","nonresalienjd2","nonresalienmenjd2","nonresalienotherjd2","nonresalienwomenjd2","twoormorejd2","twoormoremenjd2","twoormoreotherjd2","twoormorewomenjd2","unknownjd2","unknownmenjd2","unknownotherjd2","unknownwomenjd2","whitejd2","whitemenjd2","whiteotherjd2","whitewomenjd2","menjd2","otherjd2","womenjd2","totaljd3","amindianjd3","amindianmenjd3","amindianotherjd3","amindianwomenjd3","asianjd3","asianmenjd3","asianotherjd3","asianwomenjd3","blackjd3","blackmenjd3","blackotherjd3","blackwomenjd3","hispanicjd3","hispanicmenjd3","hispanicotherjd3","hispanicwomenjd3","minorityjd3","minoritymenjd3","minorityotherjd3","minoritywomenjd3","nathawjd3","nathawmenjd3","nathawotherjd3","nathawwomenjd3","nonresalienjd3","nonresalienmenjd3","nonresalienotherjd3","nonresalienwomenjd3","twoormorejd3","twoormoremenjd3","twoormoreotherjd3","twoormorewomenjd3","unknownjd3","unknownmenjd3","unknownotherjd3","unknownwomenjd3","whitejd3","whitemenjd3","whiteotherjd3","whitewomenjd3","menjd3","otherjd3","womenjd3","totaljd4","amindianjd4","amindianmenjd4","amindianotherjd4","amindianwomenjd4","asianjd4","asianmenjd4","asianotherjd4","asianwomenjd4","blackjd4","blackmenjd4","blackotherjd4","blackwomenjd4","hispanicjd4","hispanicmenjd4","hispanicotherjd4","hispanicwomenjd4","minorityjd4","minoritymenjd4","minorityotherjd4","minoritywomenjd4","nathawjd4","nathawmenjd4","nathawotherjd4","nathawwomenjd4","nonresalienjd4","nonresalienmenjd4","nonresalienotherjd4","nonresalienwomenjd4","twoormorejd4","twoormoremenjd4","twoormoreotherjd4","twoormorewomenjd4","unknownjd4","unknownmenjd4","unknownotherjd4","unknownwomenjd4","whitejd4","whitemenjd4","whiteotherjd4","whitewomenjd4","menjd4","otherjd4","womenjd4"
"00146800","St. Thomas University (Florida)","2011","719","268","6","21","46","0","32","373","337","9","0","365","105","4","9","16","0","17","151","211","3","0","354","163","2","12","30","0","15","222","126","6","0","","","","","","","","","","","","719","268","6","21","46","0","32","373","337","9","0","0","0","0","0","0","0","0","0","0","0","0","253","96","4","7","19","0","10","136","114","3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00146800","St. Thomas University (Florida)","2012","678","275","6","15","59","0","25","380","284","11","3","330","100","2","9","19","0","13","143","184","1","2","348","175","4","6","40","0","12","237","100","10","1","","","","","","","","","","","","678","275","6","15","59","0","25","380","284","11","3","0","0","0","0","0","0","0","0","0","0","0","224","102","2","5","32","0","4","145","69","7","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00146800","St. Thomas University (Florida)","2013","659","323","5","14","61","0","21","424","222","13","0","297","120","1","5","20","0","15","161","133","3","0","362","203","4","9","41","0","6","263","89","10","0","","","","","","","","","","","","623","303","5","13","57","0","21","399","211","13","0","36","20","0","1","4","0","0","25","11","0","0","261","160","2","5","20","0","11","198","61","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00146800","St. Thomas University (Florida)","2014","643","378","5","13","60","0","36","492","134","10","7","290","153","1","4","21","0","20","199","84","3","4","353","225","4","9","39","0","16","293","50","7","3","0","0","0","0","0","0","0","0","0","0","0","601","356","5","12","57","0","34","464","122","9","6","42","22","0","1","3","0","2","28","12","1","1","242","159","3","6","19","0","22","209","25","2","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00146800","St. Thomas University (Florida)","2015","630","409","3","12","49","0","34","507","103","13","7","280","169","0","3","21","0","18","211","59","5","5","350","240","3","9","28","0","16","296","44","8","2","0","0","0","0","0","0","0","0","0","0","0","592","381","3","11","46","0","34","475","98","12","7","38","28","0","1","3","0","0","32","5","1","0","213","148","0","3","13","0","7","171","36","4","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00146800","St. Thomas University (Florida)","2016","591","390","3","15","51","0","25","484","86","17","4","255","156","0","3","22","0","12","193","53","8","1","336","234","3","12","29","0","13","291","33","9","3","0","0","0","0","0","0","0","0","0","0","0","573","378","3","13","48","0","25","467","85","17","4","18","12","0","2","3","0","0","17","1","0","0","203","134","1","5","18","0","6","164","32","6","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00146800","St. Thomas University (Florida)","2017","561","370","0","15","44","0","22","451","93","13","4","238","142","0","7","17","0","11","177","54","7","0","323","228","0","8","27","0","11","274","39","6","4","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","217","142","0","8","13","0","9","172","38","5","2","0","0","0","5","0","3","5","0","8","53","0","89","69","0","103","0","0","0","3","0","2","6","0","3","0","0","2","19","0","19","91","0","126","173","0","0","0","0","5","2","0","3","14","6","0","8","113","39","0","74","141","51","0","90","0","0","0","0","5","1","0","4","9","4","0","5","1","0","0","1","26","18","0","8","70","0","103","171","0","0","0","0","2","0","0","2","17","6","0","11","115","50","0","65","138","57","0","81","0","0","0","0","3","3","0","0","4","1","0","3","1","0","0","1","29","17","0","12","77","0","94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00146800","St. Thomas University (Florida)","2018","533","346","3","15","44","0","15","423","89","17","4","207","122","2","8","15","0","7","154","48","5","0","326","224","1","7","29","0","8","269","41","12","4","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","188","118","3","3","18","0","4","146","33","7","2","2","0","1","1","0","2","4","0","14","38","0","80","46","0","100","0","0","0","0","0","7","1","0","3","0","0","2","15","0","18","61","0","127","158","0","0","0","0","7","5","0","2","9","3","0","6","106","38","0","68","126","49","0","77","0","0","0","0","3","1","0","2","4","3","0","1","1","0","0","1","28","14","0","14","64","0","94","187","0","0","0","0","5","2","0","3","17","8","0","9","122","46","0","76","151","59","0","92","0","0","0","0","7","4","0","3","7","3","0","4","1","0","0","1","28","19","0","9","82","0","105","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"00146800","St. Thomas University (Florida)","2019","565","369","2","12","51","0","3","437","105","17","6","214","133","1","7","13","0","3","157","53","2","2","351","236","1","5","38","0","0","280","52","15","4","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","241","158","0","2","22","0","3","185","44","8","4","0","0","0","1","0","1","5","0","17","61","0","97","70","0","115","0","0","0","1","0","7","3","0","0","2","0","2","23","0","21","96","0","145","161","2","1","0","1","3","1","0","2","18","3","0","15","102","32","0","70","125","37","0","88","0","0","0","0","6","0","0","6","0","0","0","0","1","0","0","1","29","13","0","16","50","0","111","163","0","0","0","0","7","5","0","2","11","5","0","6","109","40","0","69","127","50","0","77","0","0","0","0","3","1","0","2","0","0","0","0","1","0","0","1","32","17","0","15","68","0","95","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"00148001","Florida A&M University","2011","701","79","6","24","383","0","8","500","198","0","3","326","33","5","13","159","0","3","213","112","0","1","375","46","1","11","224","0","5","287","86","0","2","","","","","","","","","","","","509","57","2","20","287","0","7","373","133","0","3","192","22","4","4","96","0","1","127","65","0","0","254","34","2","5","164","0","8","213","38","0","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00148001","Florida A&M University","2012","655","88","5","19","347","0","0","459","196","0","0","302","37","2","7","143","0","0","189","113","0","0","353","51","3","12","204","0","0","270","83","0","0","","","","","","","","","","","","473","60","3","14","272","0","0","349","124","0","0","182","28","2","5","75","0","0","110","72","0","0","254","49","3","8","117","0","0","177","77","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00148001","Florida A&M University","2013","521","84","6","15","275","0","0","380","139","0","2","227","35","3","5","104","0","0","147","79","0","1","294","49","3","10","171","0","0","233","60","0","1","","","","","","","","","","","","361","54","4","13","208","0","0","279","81","0","1","160","30","2","2","67","0","0","101","58","0","1","143","23","3","3","70","0","0","99","42","0","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00148001","Florida A&M University","2014","464","97","6","17","194","0","3","317","137","0","10","203","37","1","4","73","0","2","117","84","0","2","261","60","5","13","121","0","1","200","53","0","8","0","0","0","0","0","0","0","0","0","0","0","321","63","5","14","142","0","2","226","90","0","5","143","34","1","3","52","0","1","91","47","0","5","150","30","1","7","65","0","2","105","43","0","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00148001","Florida A&M University","2015","467","67","0","10","207","0","44","328","118","0","21","203","24","0","3","85","0","11","123","69","0","11","259","42","0","6","121","0","33","202","48","0","9","5","1","0","1","1","0","0","3","1","0","1","312","38","0","7","154","0","31","230","68","0","14","155","29","0","3","53","0","13","98","50","0","7","220","31","0","5","110","0","15","161","53","0","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00148001","Florida A&M University","2016","454","64","0","11","213","0","36","324","121","0","9","180","22","0","5","70","0","9","106","70","0","4","273","42","0","6","143","0","26","217","51","0","5","1","0","0","0","0","0","1","1","0","0","0","311","44","0","9","158","0","27","238","67","0","6","143","20","0","2","55","0","9","86","54","0","3","151","15","0","5","71","0","16","107","42","0","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00148001","Florida A&M University","2017","520","67","0","15","239","2","38","361","144","5","10","198","20","0","7","68","1","16","112","79","2","5","322","47","0","8","171","1","22","249","65","3","5","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","260","28","0","6","112","2","25","173","78","5","4","0","0","0","3","0","3","27","0","85","10","0","18","51","0","122","1","0","1","2","0","3","10","0","15","1","0","3","41","0","37","95","0","165","142","0","0","0","0","7","2","0","5","65","18","0","47","19","5","0","14","102","31","0","71","0","0","0","0","0","0","0","0","11","6","0","5","3","3","0","0","37","19","0","18","53","0","89","118","0","0","0","0","2","2","0","0","62","23","0","39","20","5","0","15","86","30","0","56","0","0","0","0","0","0","0","0","2","0","0","2","3","1","0","2","29","19","0","10","50","0","68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00148001","Florida A&M University","2018","529","103","0","14","236","1","14","368","153","4","4","205","37","0","8","64","1","6","116","85","1","3","323","66","0","6","171","0","8","251","68","3","1","1","0","0","0","1","0","0","1","0","0","0","","","","","","","","","","","","","","","","","","","","","","","188","40","0","3","88","0","5","136","51","1","0","0","0","0","3","0","0","27","1","60","17","0","23","49","1","86","0","0","0","1","0","0","2","0","3","0","0","0","31","0","20","81","1","106","192","0","0","0","0","4","3","0","1","83","22","0","61","42","16","0","26","134","42","0","92","1","1","0","0","3","0","0","3","4","0","0","4","2","1","0","1","53","28","0","25","71","0","121","122","0","0","0","0","5","2","0","3","55","11","0","44","17","3","0","14","81","19","0","62","0","0","0","0","0","0","0","0","4","3","0","1","2","2","0","0","39","19","0","20","40","0","82","27","0","0","0","0","2","0","0","2","10","4","0","6","4","1","0","3","17","6","0","11","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","10","7","0","3","13","0","14"
"00148001","Florida A&M University","2019","563","57","0","7","265","1","73","403","160","0","0","217","23","0","3","75","1","26","128","89","0","0","346","34","0","4","190","0","47","275","71","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","212","15","0","2","105","0","32","154","58","0","0","0","0","0","0","0","2","30","0","75","7","0","8","46","0","108","0","0","0","0","0","0","9","0","23","0","0","0","29","0","29","75","0","137","194","0","0","0","0","1","1","0","0","88","28","0","60","29","10","0","19","144","52","0","92","1","1","0","0","0","0","0","0","25","12","0","13","0","0","0","0","50","30","0","20","82","0","112","142","0","0","0","0","4","2","0","2","69","17","0","52","11","6","0","5","100","30","0","70","0","0","0","0","0","0","0","0","16","5","0","11","0","0","0","0","42","25","0","17","55","0","87","15","0","0","0","0","0","0","0","0","3","0","0","3","2","0","0","2","5","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","5","0","5","5","0","10"
"00148900","Florida State University","2011","729","74","2","24","55","0","0","155","539","4","31","441","48","1","13","21","0","0","83","338","2","18","288","26","1","11","34","0","0","72","201","2","13","","","","","","","","","","","","729","74","2","24","55","0","0","155","539","4","31","0","0","0","0","0","0","0","0","0","0","0","200","17","0","8","15","0","0","40","148","3","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00148900","Florida State University","2012","698","71","4","16","56","2","0","149","511","4","34","414","45","2","6","22","2","0","77","313","1","23","284","26","2","10","34","0","0","72","198","3","11","","","","","","","","","","","","658","67","4","15","53","2","0","141","483","4","30","40","4","0","1","3","0","0","8","28","0","4","187","19","3","2","13","0","0","37","141","2","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00148900","Florida State University","2013","700","62","11","19","59","1","3","155","507","5","33","394","41","4","8","26","1","2","82","292","2","18","306","21","7","11","33","0","1","73","215","3","15","","","","","","","","","","","","655","57","11","18","51","1","3","141","479","5","30","45","5","0","1","8","0","0","14","28","0","3","170","13","3","4","12","0","3","35","133","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00148900","Florida State University","2014","644","68","10","19","51","1","8","157","462","7","18","368","40","4","15","24","1","4","88","266","4","10","276","28","6","4","27","0","4","69","196","3","8","0","0","0","0","0","0","0","0","0","0","0","614","66","10","17","47","0","8","148","443","7","16","30","2","0","2","4","1","0","9","19","0","2","188","30","0","9","15","0","5","59","122","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00148900","Florida State University","2015","598","82","4","18","50","0","18","172","414","7","5","335","38","1","15","22","0","9","85","241","5","4","263","44","3","3","28","0","9","87","173","2","1","0","0","0","0","0","0","0","0","0","0","0","565","81","4","18","42","0","18","163","391","6","5","33","1","0","0","8","0","0","9","23","1","0","175","32","1","5","15","0","7","60","113","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00148900","Florida State University","2016","576","88","1","15","39","0","23","166","394","9","7","309","35","0","12","12","0","11","70","230","4","5","267","53","1","3","27","0","12","96","164","5","2","0","0","0","0","0","0","0","0","0","0","0","537","82","1","14","37","0","22","156","370","8","3","39","6","0","1","2","0","1","10","24","1","4","153","17","0","3","9","0","8","37","115","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00148900","Florida State University","2017","544","56","1","11","45","0","45","158","376","6","4","268","26","0","6","14","0","16","62","202","2","2","276","30","1","5","31","0","29","96","174","4","2","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","179","20","0","3","18","0","15","56","121","1","1","0","0","0","2","0","1","4","0","14","11","0","9","21","0","35","0","0","0","1","0","0","4","0","11","0","0","1","62","0","59","84","0","95","176","0","0","0","0","4","0","0","4","12","3","0","9","13","6","0","7","44","16","0","28","0","0","0","0","2","0","0","2","15","7","0","8","2","1","0","1","128","70","0","58","87","0","89","189","1","0","0","1","4","4","0","0","15","7","0","8","23","9","0","14","58","25","0","33","0","0","0","0","3","1","0","2","15","5","0","10","1","1","0","0","127","70","0","57","97","0","92","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00148900","Florida State University","2018","576","96","0","15","47","0","19","177","392","7","0","267","39","0","6","13","0","11","69","196","2","0","309","57","0","9","34","0","8","108","196","5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","213","32","0","5","17","0","10","64","148","1","0","0","0","0","2","0","3","7","0","10","10","0","22","25","0","39","0","0","0","0","0","1","6","0","4","0","0","0","69","0","79","94","0","119","191","0","0","0","0","5","3","0","2","19","3","0","16","39","18","0","21","65","24","0","41","0","0","0","0","2","0","0","2","2","0","0","2","0","0","0","0","124","63","0","61","87","0","104","172","0","0","0","0","5","1","0","4","11","3","0","8","25","11","0","14","48","20","0","28","0","0","0","0","4","2","0","2","7","5","0","2","0","0","0","0","120","64","0","56","86","0","86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"00148900","Florida State University","2019","605","104","2","15","51","0","31","203","392","10","0","277","44","1","6","18","0","14","83","193","1","0","328","60","1","9","33","0","17","120","199","9","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","194","36","0","5","13","0","9","63","130","1","0","0","0","0","1","0","4","5","0","8","15","0","21","24","0","39","0","0","0","0","0","1","3","0","6","0","0","0","65","0","65","89","0","105","215","2","1","0","1","5","2","0","3","21","11","0","10","29","9","0","20","73","32","0","41","0","0","0","0","3","0","0","3","16","9","0","7","0","0","0","0","139","68","0","71","100","0","115","196","0","0","0","0","5","3","0","2","17","2","0","15","39","20","0","19","67","27","0","40","0","0","0","0","6","1","0","5","6","2","0","4","0","0","0","0","123","60","0","63","88","0","108","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"00150900","Nova Southeastern University","2011","1050","227","3","49","60","4","5","348","636","0","66","506","99","2","22","17","2","1","143","336","0","27","544","128","1","27","43","2","4","205","300","0","39","","","","","","","","","","","","855","164","0","43","41","3","3","254","552","0","49","195","63","3","6","19","1","2","94","84","0","17","350","80","1","18","19","0","3","121","200","0","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00150900","Nova Southeastern University","2012","1029","272","2","22","68","0","11","375","565","17","72","476","116","1","11","17","0","5","150","295","6","25","553","156","1","11","51","0","6","225","270","11","47","","","","","","","","","","","","829","191","1","18","43","0","10","263","489","17","60","200","81","1","4","25","0","1","112","76","0","12","385","131","1","11","27","0","8","178","190","7","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00150900","Nova Southeastern University","2013","929","236","2","39","86","1","8","372","489","11","57","428","100","1","19","23","0","2","145","257","3","23","501","136","1","20","63","1","6","227","232","8","34","","","","","","","","","","","","726","168","2","30","53","1","4","258","410","10","48","203","68","0","9","33","0","4","114","79","1","9","315","90","0","11","43","1","4","149","146","2","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00150900","Nova Southeastern University","2014","821","260","1","26","90","1","11","389","389","18","25","364","106","0","9","28","0","4","147","202","4","11","457","154","1","17","62","1","7","242","187","14","14","0","0","0","0","0","0","0","0","0","0","0","630","189","1","22","54","1","7","274","319","16","21","191","71","0","4","36","0","4","115","70","2","4","272","106","0","8","33","0","6","153","103","13","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00150900","Nova Southeastern University","2015","750","226","2","23","86","3","7","347","341","31","31","349","92","1","8","29","0","1","131","188","12","18","401","134","1","15","57","3","6","216","153","19","13","0","0","0","0","0","0","0","0","0","0","0","563","171","2","17","53","3","4","250","266","26","21","187","55","0","6","33","0","3","97","75","5","10","240","83","2","10","16","2","2","115","102","15","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
